-1	-5	-1	INF
-1	-4	-1	INF
-1	-3	-1	INF
-1	-2	-1	INF
-1	-1	-1	INF
-1	0	0	1
-1	1	INF	0
-1	2	INF	0
-1	3	INF	0
-1	4	INF	0
-1	5	INF	0
0	-5	-5	1
0	-4	-4	1
0	-3	-3	1
0	-2	-2	1
0	-1	-1	1
0	0	0	1
0	1	1	1
0	2	2	1
0	3	3	1
0	4	4	1
0	5	5	1
1	-5	-31	0.03125
1	-4	-15	0.0625
1	-3	-7	0.125
1	-2	-3	0.25
1	-1	-1	0.5
1	0	0	1
1	1	0.5	2
1	2	0.75	4
1	3	0.875	8
1	4	0.9375	16
1	5	0.96875	32
2	-5	-121	0.004115
2	-4	-40	0.012346
2	-3	-13	0.037037
2	-2	-4	0.111111
2	-1	-1	0.333333
2	0	0	1
2	1	0.333333	3
2	2	0.444444	9
2	3	0.481481	27
2	4	0.493827	81
2	5	0.497942	243
3	-5	-341	0.000977
3	-4	-85	0.003906
3	-3	-21	0.015625
3	-2	-5	0.0625
3	-1	-1	0.25
3	0	0	1
3	1	0.25	4
3	2	0.3125	16
3	3	0.328125	64
3	4	0.332031	256
3	5	0.333008	1024
4	-5	-781	0.00032
4	-4	-156	0.0016
4	-3	-31	0.008
4	-2	-6	0.04
4	-1	-1	0.2
4	0	0	1
4	1	0.2	5
4	2	0.24	25
4	3	0.248	125
4	4	0.2496	625
4	5	0.24992	3125
5	-5	-1555	0.000129
5	-4	-259	0.000772
5	-3	-43	0.00463
5	-2	-7	0.027778
5	-1	-1	0.166667
5	0	0	1
5	1	0.166667	6
5	2	0.194444	36
5	3	0.199074	216
5	4	0.199846	1296
5	5	0.199974	7776
